,Word,Similarity
0,west,0.9513357281684875
1,collapse,0.9505479335784912
2,side,0.944736897945404
3,east,0.9419479966163635
4,floor,0.9370015263557434
5,debris,0.9292441606521606
6,ground,0.9201135635375977
7,street,0.9174231290817261
8,across,0.9097285270690918
9,friday,0.9081082940101624
10,second,0.9032638669013977
11,avenue,0.8828624486923218
12,occurred,0.874262809753418
13,death,0.8738741874694824
14,morning,0.8714346885681152
15,worker,0.8705992698669434
16,yesterday,0.8650060296058655
17,injuries,0.8610814213752747
18,monday,0.8582521677017212
19,injured,0.8434052467346191
20,left,0.8431024551391602
21,dead,0.8410207629203796
22,brooklyn,0.8388827443122864
23,wall,0.8344640135765076
24,authorities,0.8143500089645386
25,near,0.8096083402633667
26,taken,0.8091422319412231
27,came,0.8048545122146606
28,steel,0.8039270639419556
29,march,0.8031117916107178
30,tuesday,0.8022500276565552
31,crash,0.7974606156349182
32,said.the,0.797362744808197
33,died,0.7862759828567505
34,manhattan,0.7825067043304443
35,seven,0.7762119770050049
36,man,0.7756156921386719
37,men,0.7724504470825195
38,truck,0.7696166038513184
39,hours,0.769288957118988
40,night,0.769122838973999
41,feet,0.7578168511390686
42,site,0.7570254802703857
43,later,0.7567691802978516
44,hospital,0.7535443305969238
45,killed,0.7524299621582031
46,top,0.739611804485321
47,working,0.7285133600234985
48,fire,0.7277216911315918
49,thursday,0.7141832709312439
50,police,0.7104917764663696
51,scene,0.7035923004150391
52,tower,0.6948298215866089
53,driver,0.6873514652252197
54,began,0.678210973739624
55,cars,0.669188916683197
56,around,0.6612869501113892
57,caused,0.6579557657241821
58,workers,0.6522030234336853
59,one,0.6507188081741333
60,day,0.6403014659881592
61,several,0.636297345161438
62,took,0.631039023399353
63,another,0.6289592981338501
64,15,0.6283785104751587
65,accident,0.6277089715003967
66,cause,0.6155789494514465
67,away,0.6132310628890991
68,along,0.6116347312927246
69,car,0.6081187725067139
70,two,0.607921302318573
71,concrete,0.5989500284194946
72,crane,0.5985785722732544
73,house,0.5874377489089966
74,others,0.5867170691490173
75,center,0.5765413045883179
76,area,0.5730922222137451
77,charges,0.5722833871841431
78,five,0.5639613270759583
79,days,0.5513865351676941
80,district,0.5479004383087158
81,30,0.5473103523254395
82,investigators,0.5419620275497437
83,least,0.5405569076538086
84,six,0.5390326380729675
85,train,0.5229009389877319
86,bridge,0.5160688161849976
87,south,0.5102441310882568
88,people,0.486198753118515
89,equipment,0.47865235805511475
90,four,0.4624073803424835
91,found,0.4603450298309326
92,,0.4601661264896393
93,times,0.45820918679237366
94,home,0.45494258403778076
95,known,0.4445859491825104
96,building,0.4425366520881653
97,north,0.4330054521560669
98,road,0.42631906270980835
99,three,0.4236838221549988
