,Word,Similarity
0,said.the,0.9153838157653809
1,police,0.8880934715270996
2,scene,0.8838992714881897
3,taken,0.8827036619186401
4,cause,0.8743700981140137
5,investigators,0.8485403060913086
6,authorities,0.8378133177757263
7,hospital,0.8259345889091492
8,injuries,0.8254451751708984
9,chief,0.8194621801376343
10,night,0.8123291730880737
11,floor,0.8118909597396851
12,spokesman,0.7959515452384949
13,man,0.7920901775360107
14,dead,0.7913690209388733
15,monday,0.7880229949951172
16,friday,0.7872458696365356
17,driver,0.7662203311920166
18,investigation,0.762819766998291
19,later,0.7589237689971924
20,truck,0.7506089806556702
21,found,0.7424457669258118
22,yesterday,0.7410110235214233
23,officials,0.7386070489883423
24,death,0.7371474504470825
25,worker,0.735914409160614
26,fell,0.7277216911315918
27,working,0.7257893085479736
28,said,0.7173055410385132
29,tuesday,0.7106364965438843
30,site,0.7086732387542725
31,crash,0.7071071267127991
32,morning,0.7060806751251221
33,debris,0.7047669887542725
34,side,0.7038171291351318
35,left,0.6916573643684387
36,collapse,0.6909094452857971
37,thursday,0.6885169148445129
38,across,0.6872949004173279
39,center,0.6824643015861511
40,top,0.6812975406646729
41,accident,0.6805359721183777
42,avenue,0.6785684823989868
43,office,0.6753506064414978
44,district,0.6665326952934265
45,told,0.6633185148239136
46,second,0.6575977802276611
47,took,0.6556922197341919
48,official,0.6547529697418213
49,street,0.6518548727035522
50,mr.,0.6480560898780823
51,ground,0.6392977237701416
52,occurred,0.6275097727775574
53,concrete,0.6228122115135193
54,injured,0.622653603553772
55,began,0.6177420616149902
56,brooklyn,0.6141064763069153
57,charges,0.6132065057754517
58,west,0.6131628751754761
59,away,0.6111088991165161
60,area,0.6003720760345459
61,car,0.5992328524589539
62,j.,0.5991411209106445
63,east,0.5944635272026062
64,steel,0.5942875742912292
65,mayor,0.5879088640213013
66,news,0.5863029956817627
67,ms.,0.5828560590744019
68,wall,0.5821252465248108
69,department,0.5819147825241089
70,several,0.5704709887504578
71,hours,0.5660572052001953
72,involved,0.5610707998275757
73,manhattan,0.5425388813018799
74,house,0.5349663496017456
75,came,0.5341488718986511
76,building,0.5253745317459106
77,place,0.5146777629852295
78,right,0.5086271166801453
79,commissioner,0.5045996904373169
80,men,0.49571216106414795
81,members,0.49212512373924255
82,cars,0.4889524579048157
83,family,0.4849870204925537
84,near,0.47310519218444824
85,contractor,0.4574846923351288
86,workers,0.4561472535133362
87,",",0.4529682397842407
88,one,0.4496893286705017
89,caused,0.44310319423675537
90,used,0.43979769945144653
91,report,0.43771037459373474
92,home,0.43558579683303833
93,tower,0.43110597133636475
94,job,0.4237615466117859
95,died,0.4182894229888916
96,violations,0.41763216257095337
97,another,0.4158586263656616
98,crane,0.41305065155029297
99,issued,0.4129799008369446
