,Word,Similarity
0,department,0.8820542097091675
1,inspectors,0.873041033744812
2,issued,0.8640624284744263
3,commissioner,0.8381227254867554
4,city,0.8292100429534912
5,cranes,0.8288787603378296
6,involved,0.827131986618042
7,contractor,0.8162710666656494
8,violations,0.8125499486923218
9,tower,0.8120886087417603
10,crane,0.8076134920120239
11,investigation,0.801001787185669
12,j.,0.79530930519104
13,office,0.7931632399559021
14,equipment,0.7863538265228271
15,site,0.7816919088363647
16,found,0.7682146430015564
17,district,0.7628703713417053
18,charges,0.748893678188324
19,investigators,0.7231414318084717
20,former,0.7158387899398804
21,company,0.7131748795509338
22,several,0.7126418352127075
23,officials,0.7077316641807556
24,mayor,0.6883387565612793
25,contractors,0.6817543506622314
26,engineers,0.6647946834564209
27,sites,0.6545307040214539
28,construction,0.6317230463027954
29,including,0.6294206976890564
30,began,0.6258193254470825
31,chief,0.6246244311332703
32,top,0.6210594177246094
33,according,0.6069657206535339
34,manhattan,0.6060222387313843
35,york,0.5825263857841492
36,steel,0.5677356719970703
37,safety,0.5625626444816589
38,concrete,0.5550603866577148
39,times,0.5540163516998291
40,collapse,0.5535142421722412
41,official,0.5499268770217896
42,east,0.5412445664405823
43,death,0.5365992188453674
44,work,0.536598801612854
45,fire,0.5253745317459106
46,used,0.5231549739837646
47,friday,0.5173792839050293
48,across,0.5140114426612854
49,floor,0.507068395614624
