,0,1
0,department,0.8517441153526306
1,inspectors,0.850665271282196
2,tower,0.8471069931983948
3,commissioner,0.8441351652145386
4,issued,0.8411394357681274
5,city,0.8280482292175293
6,cranes,0.8171242475509644
7,violations,0.7988166809082031
8,involved,0.793452262878418
9,contractor,0.7848315238952637
10,crane,0.7823498845100403
11,site,0.7783228158950806
12,top,0.7733707427978516
13,j.,0.7684191465377808
14,office,0.7647473812103271
15,found,0.7561198472976685
16,district,0.7369059920310974
17,construction,0.7362735271453857
18,investigation,0.7254549264907837
19,equipment,0.714083194732666
20,investigators,0.7023116946220398
21,former,0.69512939453125
22,mayor,0.6939956545829773
23,charges,0.6780264377593994
24,company,0.6707875728607178
25,contractors,0.657157301902771
26,concrete,0.6470662951469421
27,officials,0.6458224654197693
28,work,0.6378557085990906
29,also,0.636946439743042
30,several,0.6273870468139648
31,engineers,0.6208453178405762
32,used,0.6197735667228699
33,manhattan,0.6151119470596313
34,collapse,0.612281084060669
35,steel,0.603138267993927
36,sites,0.5990871787071228
37,east,0.5950306057929993
38,times,0.5783478021621704
39,floor,0.5728506445884705
40,including,0.565096378326416
41,according,0.5455905199050903
42,across,0.5428335666656494
43,fire,0.5379146337509155
44,began,0.5370726585388184
45,chief,0.5325490236282349
46,york,0.5293959379196167
47,march,0.5245943665504456
48,street,0.5150336623191833
49,case,0.5017184615135193
