,date,title,link
0,20191122,"11,484 Violations: Surprise Inspections Hit N.Y. Construction Sites - The New York Times",https://www.nytimes.com/2019/11/22/nyregion/nyc-dob-surprise-inspectors.html?searchResultPosition=4
1,20070505,Construction Accident Kills Laborer at School - The New York Times,https://www.nytimes.com/2007/05/05/nyregion/05cave.html?searchResultPosition=9
2,20020827,City Allows Work to Resume At Construction Accident Site - The New York Times,https://www.nytimes.com/2002/08/27/nyregion/city-allows-work-to-resume-at-construction-accident-site.html?searchResultPosition=11
3,20040608,Construction Accident in Queens Kills Worker and Injures 2 - The New York Times,https://www.nytimes.com/2004/06/08/nyregion/construction-accident-in-queens-kills-worker-and-injures-2.html?searchResultPosition=13
4,20191012,"Collapse of a Future Hard Rock Hotel Leaves Two Dead, and New Orleans Reeling - The New York Times",https://www.nytimes.com/2019/10/12/us/hard-rock-new-orleans-hotel-collapse.html?searchResultPosition=16
5,20190827,7 Relatives Worked at a Construction Site. Then Came a Deadly Collapse. - The New York Times,https://www.nytimes.com/2019/08/27/nyregion/bronx-building-collapse.html?searchResultPosition=17
6,20140923,Concrete Slab Crushes Construction Worker in Midtown Manhattan - The New York Times,https://www.nytimes.com/2014/09/24/nyregion/man-dies-in-construction-accident-in-midtown-manhattan.html?searchResultPosition=21
7,20000728,Construction-Site Accident Snarls Subways in Midtown - The New York Times,https://www.nytimes.com/2000/07/28/nyregion/construction-site-accident-snarls-subways-in-midtown.html?searchResultPosition=22
8,20000208,Construction Worker Is Killed In World Trade Center Accident - The New York Times,https://www.nytimes.com/2000/02/08/nyregion/construction-worker-is-killed-in-world-trade-center-accident.html?searchResultPosition=27
9,20080507,Construction Worker Is Killed in Fall From a Scaffold - The New York Times,https://www.nytimes.com/2008/05/07/nyregion/07fall.html?searchResultPosition=36
10,20080530,Construction crane collapses in New York City - The New York Times,https://www.nytimes.com/2008/05/30/world/americas/30iht-30crane.13341493.html?searchResultPosition=41
11,20110110,Worker Dies at Queens Construction Site - The New York Times,https://www.nytimes.com/2011/01/11/nyregion/11collapse.html?searchResultPosition=45
12,20071208,Construction Worker Dies in the Bronx - The New York Times,https://www.nytimes.com/2007/12/08/nyregion/08hole.html?searchResultPosition=47
13,20000818,"Crane Boom Buckles at N.Y.U. Construction Site, Sending One-Ton Slab Crashing to Ground - The New York Times",https://www.nytimes.com/2000/08/18/nyregion/crane-boom-buckles-nyu-construction-site-sending-one-ton-slab-crashing-ground.html?searchResultPosition=48
14,20040425,Now for Permanent Fix at Accident Site - The New York Times,https://www.nytimes.com/2004/04/25/nyregion/now-for-permanent-fix-at-accident-site.html?searchResultPosition=49
15,20061122,Worker Unhurt in Latest Scaffold Accident - The New York Times,https://www.nytimes.com/2006/11/22/nyregion/22scaffold.html?searchResultPosition=50
16,20061122,Worker Unhurt in Latest Scaffold Accident - The New York Times,https://www.nytimes.com/2006/11/22/nyregion/worker-unhurt-in-latest-scaffold-accident.html?searchResultPosition=51
17,20010817,Loose Construction Scaffold Stops Traffic Near Times Sq. - The New York Times,https://www.nytimes.com/2001/08/17/nyregion/loose-construction-scaffold-stops-traffic-near-times-sq.html?searchResultPosition=61
18,20010509,A Site That Was an Accident Waiting to Happen. It Did. - The New York Times,https://www.nytimes.com/2001/05/09/nyregion/a-site-that-was-an-accident-waiting-to-happen-it-did.html?searchResultPosition=66
19,20060522,Workers Injured at Construction Site - The New York Times,https://www.nytimes.com/2006/05/22/nyregion/23mbrfs-brief-005.5.html?searchResultPosition=72
20,20080602,Some Construction Is Halted After Fatal Crane Collapse - The New York Times,https://www.nytimes.com/2008/06/02/nyregion/02collapse.html?searchResultPosition=78
21,20080130,Worker in Brooklyn Killed in Fall - The New York Times,https://www.nytimes.com/2008/01/30/nyregion/30cnd-fall.html?searchResultPosition=82
22,20080904,Worker Is Killed in City’s Latest Crane Accident - The New York Times,https://www.nytimes.com/2008/09/05/nyregion/05accident.html?searchResultPosition=86
23,20080115,Construction Worker Dies in 42-Story Fall in SoHo - The New York Times,https://www.nytimes.com/2008/01/15/nyregion/15scaffold.html?searchResultPosition=87
24,20150407,4 Workers Injured at Midtown Manhattan Construction Site - The New York Times,https://www.nytimes.com/2015/04/08/nyregion/workers-injured-at-midtown-manhattan-construction-site.html?searchResultPosition=88
25,20060523,Metro Briefing | New York: Manhattan: Workers Injured At Construction Site - The New York Times,https://www.nytimes.com/2006/05/23/nyregion/metro-briefing-new-york-manhattan-workers-injured-at-construction.html?searchResultPosition=90
26,20020824,2 Workers Die at Construction Site When Elevator Plunges 19 Floors - The New York Times,https://www.nytimes.com/2002/08/24/nyregion/2-workers-die-at-construction-site-when-elevator-plunges-19-floors.html?searchResultPosition=98
27,20141128,Construction Worker Dies After Ceiling Collapse at Staten Island Car Dealership - The New York Times,https://www.nytimes.com/2014/11/29/nyregion/construction-worker-dies-after-roof-collapse-at-staten-island-car-dealership.html?searchResultPosition=101
28,20080422,"As Construction Deaths Rise, Buildings Chief Faces Scrutiny - The New York Times",https://www.nytimes.com/2008/04/22/nyregion/22lancaster.html?searchResultPosition=106
29,20080530,Construction crane topples in New York - The New York Times,https://www.nytimes.com/2008/05/30/world/americas/30iht-30crane2.13342383.html?searchResultPosition=107
30,20061011,Brooklyn: Workers Injured in Lift Accident - The New York Times,https://www.nytimes.com/2006/10/11/nyregion/brooklyn-workers-injured-in-lift-accident.html?searchResultPosition=114
31,20080723,Construction Vehicle Attack in Israel - The New York Times,https://www.nytimes.com/2008/07/23/world/middleeast/23israel.html?searchResultPosition=117
