411,''the,38
412,eight,38
413,smoke,38
414,damage,38
415,went,38
416,close,38
417,court,38
418,early,38
419,asked,37
420,seen,37
421,structure,37
422,deputy,37
423,incident,37
424,corporation,37
425,using,37
426,problem,37
427,staten,37
428,want,36
429,cost,36
430,broke,36
431,david,36
432,late,36
433,reported,36
434,third,36
435,force,36
436,business,36
437,trade,36
438,march,36
439,released,36
440,woman,36
441,pipeline,36
442,half,35
443,developers,35
444,estate,35
445,record,35
446,issue,35
447,failure,35
448,declined,35
449,code,35
450,calls,35
451,residential,35
452,20,35
453,corner,35
454,yet,35
455,91st,35
456,officers,35
457,university,35
458,bovis,35
459,deutsche,35
460,enough,34
461,times,34
462,arrived,34
463,someone,34
464,white,34
465,director,34
466,piece,34
467,community,34
468,investigating,34
469,platform,34
470,broken,34
471,block,34
472,questions,34
473,thought,34
474,within,34
475,charged,34
476,nine,33
477,change,33
478,agencies,33
479,hard,33
480,turned,33
481,dig,33
482,victims,33
483,lost,33
484,things,33
485,today,33
486,designed,33
487,lower,33
488,failed,33
489,prosecutors,33
490,says,33
491,wind,33
492,dangerous,32
493,however,32
494,hearing,32
495,recently,32
496,tried,32
497,end,32
498,filed,32
499,led,32
500,related,32
501,cited,32
502,moved,32
503,trucks,32
504,held,32
505,100,31
506,main,31
507,though,31
508,jobs,31
509,sure,31
510,beneath,31
511,victim,31
512,china,31
513,international,31
514,bronx,31
515,approved,31
516,fallen,31
517,father,31
518,pieces,31
519,14,31
520,operating,31
521,review,31
522,level,31
523,complex,31
524,mine,31
525,blaze,31
526,50th,31
527,missing,30
528,team,30
529,scheduled,30
530,support,30
531,largest,30
532,require,30
533,repair,30
534,elevator,30
535,thomas,30
536,apparently,30
537,ordered,30
538,weeks,30
539,look,30
540,upper,30
541,18,30
542,seriously,30
543,private,30
544,1,30
545,firm,30
546,design,30
547,port,30
548,critical,30
549,winds,30
550,kind,30
551,regulations,30
552,must,30
553,given,30
554,van,30
555,flames,30
556,drivers,30
557,leaving,29
558,based,29
559,treated,29
560,ran,29
