"id","pubyear","title"
"WOS:000235982900311","2006","Degradation of BIM as a mechanism for neuroprotection mediated by rapid ischemic tolerance"
"WOS:000236594300041","2006","Interrelated roles for Mcl-1 and BIM in regulation of TRAIL-mediated mitochondrial apoptosis"
"WOS:000239235600057","2006","To architects, building information modeling is still primarily a visualization tool"
"WOS:000242968800084","2006","A framework of information for construction - Creating an industry-wide enterprise architecture for building information modeling use"
"WOS:000239869600008","2006","Building information modeling"
"WOS:000245582600029","2007","Effect of valerian extract preparation (BIM) on the sleep-wake cycle in rats"
"WOS:000249208500025","2007","Integration of STAT2 and BIM signals regulate type IIFN-induced apoptosis"
"WOS:000210012600029","2007","GENERATING FIRE DYNAMICS SIMULATOR GEOMETRICAL INPUT USING AN IFC-BASED BUILDING INFORMATION MODEL"
"WOS:000245844600047","2007","Transformative tools start to take hold (Building Information Modeling)"
"WOS:000245027400005","2007","REACH holds no fears for BIM Finland Oy"
"WOS:000251857900047","2007","Proapoptotic BH3-only BCL-2 family protein BIM connects death signaling from epidermal growth factor receptor inhibition to the mitochondrion"
"WOS:000248940700029","2007","Design visualisation and documentation with building information modelling - A case study"
"WOS:000244585000024","2007","Share and share alike (Building Information Modeling technology)"
"WOS:000251100800525","2007","Pharmacologic, replacement of BIM BH3 reactivates apoptosis in hematologic cancer and lymphoproliferative disease"
"WOS:000251113600018","2007","Gefitinib-induced killing of NSCLC cell lines expressing mutant EGFR requires BIM and can be enhanced by BH3 mimetics"
"WOS:000247451600074","2007","The expression and regulation of BIM in osteciblasts undergoing growth factor withdrawal"
"WOS:000213216800007","2007","Interorganizational use of building information models: potential for automational, informational and transformational effects"
"WOS:000213065700005","2007","Investigating the Role of Building Information Models as a Part of an Integrated Data Layer: A Fire Response Management Case"
"WOS:000251113600016","2007","Induction of BIM is essential for apoptosis triggered by EGFR kinase inhibitors in mutant EGFR-dependent lung adenocarcinomas"
"WOS:000247373400021","2007","The proapoptotic BCL-2 family member BIM mediates motoneuron loss in a model of amyotrophic lateral sclerosis"
"WOS:000290030701030","2007","Sharing Fire Engineering Simulation Data Using the IFC Building Information Model"
"WOS:000253394500213","2007","Benefits of BIM in the thermal performance management"
"WOS:000243972404142","2007","tBID and BIM assist BAX to form large pores in bilayer membranes via different mechanisms"
"WOS:000273209800057","2007","Life Cycle Costing as part of decision making - use of building information models"
"WOS:000265665300025","2007","Building Information Modeling: The Web3D Application for AEC"
"WOS:000243729800014","2007","Regulation of the proapoptotic BH3-only protein BIM by glucocorticoids, survival signals and proteasome in chronic lymphocytic leukemia cells"
"WOS:000271190600004","2007","Download my building: How building information modeling will transform our cities"
"WOS:000215015600017","2007","Building information modeling based on intelligent parametric technology"
"WOS:000216650700007","2007","The Building Information Modeling solutions of Bentley"
"WOS:000253394500202","2007","Impact of the US National Building Information Model Standard (NBIMS) on building energy performance simulation"
"WOS:000261166000027","2008","Integrated Practice in Architecture: Mastering Design-Build, Fast-Track, and Building Information Modeling"
"WOS:000255302200010","2008","Building information modelling - Experts' views on standardisation and industry deployment"
"WOS:000210017600017","2008","EDITORIAL CASE STUDIES OF BIM IN USE"
"WOS:000259330600058","2008","Integrating energy simulation applications and building information modelling in the design studio"
"WOS:000258052600005","2008","Digital construction through BIM systems will drive the re-engineering of construction business practices"
"WOS:000256534600010","2008","Building information modeling - Gaining momentum"
"WOS:000254341600068","2008","Visualizing energy: How BIM influences design choices"
"WOS:000262104701086","2008","A Stapled BIM BH3 Helix Overcomes the MCL-1-Mediated Apoptotic Blockade of Refractory Hematologic Cancers"
"WOS:000258743700051","2008","Building ontology to implement the BIM(Building Information Modeling) focused on pre-design stage"
"WOS:000262104701821","2008","Targetting a Pro-Apoptotic Molecule BIM by Dexamethasone and MEK Inhibitors Synergistically Induces Apoptosis in Acute Lymphoblastic Leukemia Cells"
